description,date,title,name_medio,scope_medio
"Voceros de la Comisión informaron a Télam que &amp;ldquo;en horas de la mañana de este miércoles se habían logrado controlar los primeros focos de incendios que llegaban hasta los límites del perímetro principal, pero en horas de este mediodía el cambio de vientos hizo que se reaviven muchos de los focos que estaban controlados&amp;rdquo;.",2020-09-23,El fuego llegó cerca del predio de la Conae en Córdoba y trabajan para resguardarlo,Télam,Nacional
"Al ser consultado sobre los motivos de los incendios, el ministro de Ambiente de la Nación explicó que &amp;ldquo;hay factores determinantes como el calentamiento global, la falta de lluvias, a veces por especulación inmobiliaria y la irresponsabilidad de algunos productores&amp;rdquo;.",2020-09-23,"Cabandié: ""El clamor de la tierra indica que hay que cambiar de métodos""",Télam,Nacional
"Los chicos y las chicas estaban en pleno festejo del día del Estudiante y de la Primavera, con siete carpas instaladas, música y hasta habían prendido una fogata sin percatarse del peligro inminente.",2020-09-23,"En pleno incendio de la reserva La Quebrada, evacuaron a 40 adolescentes que estaban acampando ",La Voz,Provincial
"Los incendios forestales se registran en la zona de Falda del Carmen, cercano al observatorio de Córdoba, y en varios puntos del Valle de Punilla, mientras otros siniestros fueron controlados.",2020-09-23,El video que muestra cómo trabajan 400 bomberos para sofocar varios incendios activos,Télam,Nacional
"Córdoba, Entre Ríos, Salta, Santa Fe, San Luis, Mendoza, Jujuy, Tucumán, Chaco, Buenos Aires, Santiago del Estero, La Pampa, Catamarca y Corrientes son las provincias afectadas.",2020-09-23,Más de la mitad de las provincias se encuentra con focos de incendios,Télam,Nacional
El incendio ingresó en horas de la madrugada al predio de la estación astrofísica. Intensa rea de bomberos para que la cúpula principal y las estructuras no sean afectadas. Fotos: Pedro Castillo/ La Voz.,2020-09-23,Otra jornada de fuego en Córdoba: así avanzan las llamas en Bosque Alegre,La Voz,Provincial
"Las llamas alcanzaron parte del predio de la estación astrofísica. Fotos de Pedro Castillo/ La Voz
                                                                                                                                    El predio del Observatorio Astronómico de Bosque Alegre sufrió el avance de las llamas del incendio que se había desatado el martes en Las Jarillas.",2020-09-23,Las llamas tuvieron en vilo al Observatorio de Bosque Alegre,La Voz,Provincial
"Es la zona más alta de la reserva. 
                                                                                                                                Alrededor de las 14 de este miércoles se reactivó un foco de incendio que se venía combatiendo desde ayer en la reserva Municipal Los Manantiales de Río Ceballos.",2020-09-23,Río Ceballos: se reactivó un foco de incendio en la reserva Los Manantiales,La Voz,Provincial
"“En Bosque Alegre había vivido lluvias, nevadas, pero algo así nunca. Decir 'nos vamos' porque tenemos el fuego arriba”, expresó Rodolfo Artola, operador del telescopio 1-54 en el Observatorio de Bosque Alegre.",2020-09-23,En primera persona: un operador del Observatorio contó cómo vivió el incendio en Bosque Alegre,La Voz,Provincial
"A raíz de distintos focos desatados, los incendios forestales no dan tregua en la provincia de Córdoba. Laboulaye, a 350 kilómetros al sur de la capital provincial, es uno de los lugares afectados. Esa ciudad de más de 20.000 habitantes también fue el escenario de un noble y emotivo gesto de un nene: gastó todos sus ahorros y les compró criollitos a los bomberos que dejan todo en su lucha contra el fuego.",2020-09-23,Conmovedor: tiene 5 años y gastó sus ahorros para comprarles bizcochos a los bomberos de Córdoba,La Nación,Nacional
Los incendios en Córdoba se transformaron en una prioridad frente a las poblaciones en riesgo. La unidad se enviaría en las próximas horas y cuenta con un balde aéreo.,2020-09-23,Gestionan el envío de un helicóptero del Ejército para sumarse a la lucha contra el fuego en Córdoba,La Voz,Provincial
"Carlos Pérez contó cómo fue atravesar el incendio en el que quedaron atrapados cinco bomberos en una camioneta Hilux. “Era un riesgo, pero por suerte estamos bien”, contó.",2020-09-23,"“La única vía segura era atravesar las llamas”, dijo el bombero que escapó del túnel de fuego",La Voz,Provincial
"Con el dinero que le trajo el Ratón Pérez, Lorenzo decidió que tenía que usarlos para una causa noble y no dudó. Agarró los ahorros y los invirtió en la panadería.",2020-09-23,Tiene cinco años y llamó a los bomberos para que apaguen un incendio en Laboulaye: como agradecimiento les compró una bolsa de criollitos,La Voz,Provincial
"CORDOBA.- Comienza otro día difícil en Córdoba en la lucha contra el fuego: hace calor y hay viento norte. Si bien anoche se lograron contener los frentes de Unquillo y Ambul –donde hay guardia de cenizas-, hay llamas que avanzan hacia Calamuchita y rodean el observatorio de Bosque Alegre, e incendian los pinares de la zona.",2020-09-23,"Incendios en Córdoba. El fuego rodea el observatorio de Bosque Alegre: ""Esto es humo y llamas por todos lados""",La Nación,Nacional
"El Ministerio de Desarrollo Social entregó subsidios para la reconstrucción de viviendas y compra de mobiliario del hogar en Charbonier. Esta iniciativa se suma a las ayudas para los pequeños y medianos productores damnificados, además de los trabajos de remediación ambiental.",2020-09-16,La Provincia asiste a las familias afectadas por los incendios,La Voz,Provincial
"El Servicio Nacional de Manejo del Fuego informó que San Luis, Córdoba, Santa Fe y Entre Ríos continúan en combate contra los incendios.",2020-09-15,Cuatro provincias registran focos activos,Télam,Nacional
"""El fuego está llegando a la casa de la maestra. Esto es imparable, necesitamos ayuda"", le escribieron a Ciro Korol, escritor y activista de la Multisectorial Humedales, una agrupación que había nacido en forma espontánea, un mes atrás, con organizaciones y vecinos que se habían autoconvocado en el Puente Rosario-Victoria para reclamar por los incendios de las islas, la indiferencia del Estado y la sanción urgente de la Ley de Protección de Humedales. Esa tarde del sábado 22 de agosto, Ciro se despertó de la siesta y se acordó que había soñado con serpientes, las mismas que, al día siguiente, vería calcinadas.",2020-09-14,"Delta del Paraná: quemaduras, manos agrietadas y ojos ardidos, así fue la lucha de los voluntarios contra el fuego",La Nación,Nacional
"El presidente del Partido Justicialista y diputado del Frente de Todos criticó las expresiones del ex presidente en su reaparición pública, tras su viaje a Europa.",2020-09-13,"Gioja: ""Macri incendió el país y hoy pontifica""",Télam,Nacional
"Juan era el perro labrador K9 de Emiliano y juntos habían ganado un reconocimiento por el rescate de personas. Desde la Federación de Bomberos Voluntarios emitieron un comunicado donde afirman que ambos ""son un orgullo para nuestra Federación y toda la provincia de Córdoba"".",2020-09-13,Un bombero perdió a sus perros adiestrados en el incendio de su casa en Ballesteros,La Voz,Provincial
"La Multisectorial por los Humedales advirtió en los últimos meses se registraron ""picos de contaminación que superan cinco veces los niveles permitidos"".",2020-09-13,Advierten en Rosario nuevos de focos de incendios y presencia de humo en el aire,Télam,Nacional
